"SVC-Core-Data-Set.vaccination.marketer","","","",0,1,"","","","Coding {[]} {[]}
","Vaccine market authorization holder","Name of the market authorization holder of the vaccine received. If market authorization holder is unknown, vaccine manufacturer is REQUIRED.","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.vaccination.marketer",0,1,"",""
"SVC-Core-Data-Set.vaccination.batch","","","",1,1,"","","","string {[]} {[]}
","Vaccine batch number","Batch number or lot number of vaccination.","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.vaccination.batch",1,1,"",""
"SVC-Core-Data-Set.vaccination.date","","","",1,1,"","","","date {[]} {[]}
","Date of vaccination","Date in which the vaccine was provided.","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.vaccination.date",1,1,"",""
"SVC-Core-Data-Set.vaccination.doseNumber","","","",1,1,"","","","positiveInt {[]} {[]}
","Dose number","Vaccine dose number.","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.vaccination.doseNumber",1,1,"",""
"SVC-Core-Data-Set.vaccination.seriesDoses","","","",0,1,"","","","positiveInt {[]} {[]}
","Total doses","Total expected doses as defined by Member State care plan and immunization programme policies.","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.vaccination.seriesDoses",0,1,"",""
"SVC-Core-Data-Set.vaccination.country","","","",1,1,"","","","Coding {[]} {[]}
","Country of vaccination","The country in which the individual has been vaccinated.","","","","","","","","","",,"preferred","","http://hl7.org/fhir/ValueSet/iso3166-1-3","",,,,"SVC-Core-Data-Set.vaccination.country",1,1,"",""
"SVC-Core-Data-Set.vaccination.centre","","","",1,1,"","","","string {[]} {[]}
","Administering centre","The name or identifier of the vaccination facility responsible for providing the vaccination.","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.vaccination.centre",1,1,"",""
"SVC-Core-Data-Set.vaccination.signature","","","",0,1,"","","","Signature {[]} {[]}
","Signature of health worker","REQUIRED for PAPER vaccination certificates ONLY. The health worker who provided the vaccination or the supervising clinician's hand-written signature.","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.vaccination.signature",0,1,"",""
"SVC-Core-Data-Set.vaccination.practitioner","","","",0,1,"","","","Identifier {[]} {[]}
","Health worker identifier","OPTIONAL for DIGITAL and PAPER vaccination certificates. The unique identifier for the health worker as determined by the member state. There can be more than one unique identifier used. (e.g. system generated ID, health profession number, cryptographic signature, or any other form of health worker unique identifier). This can be used in lieu of a paper-based signature.","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.vaccination.practitioner",0,1,"",""
"SVC-Core-Data-Set.vaccination.disease","","","",0,1,"","","","Coding {[]} {[]}
","Disease or agent targeted","Name of disease vaccinated against (such as COVID-19).","","","","","","","","","",,"preferred","","http://id.who.int/icd11/mms","",,,,"SVC-Core-Data-Set.vaccination.disease",0,1,"",""
"SVC-Core-Data-Set.vaccination.nextDose","","","",0,1,"","","","date {[]} {[]}
","Due date of next dose","Date on which the next vaccination should be administered, if a next dose is REQUIRED.","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.vaccination.nextDose",0,1,"",""
"SVC-Core-Data-Set.certificate","","","",0,1,"","","","BackboneElement {[]} {[]}
","Certificate Metadata","Metadata associated with the certificate.","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.certificate",0,1,"",""
"SVC-Core-Data-Set.certificate.issuer","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://who-int.github.io/svc/refs/heads/rc2/StructureDefinition/shc-organization]]}
","Certificate issuer","","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.certificate.issuer",1,1,"",""
"SVC-Core-Data-Set.certificate.identifier","","","",1,1,"","","","Identifier {[]} {[]}
","Certificate identifier","","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.certificate.identifier",1,1,"",""
"SVC-Core-Data-Set.certificate.period","","","",0,1,"","","","Period {[]} {[]}
","Certificate Validity Period","","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.certificate.period",0,1,"",""
"SVC-Core-Data-Set.certificate.period.start","","","",0,1,"","","","date {[]} {[]}
","Certificate valid from","","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.certificate.period.start",0,1,"",""
"SVC-Core-Data-Set.certificate.period.end","","","",0,1,"","","","date {[]} {[]}
","Certificate valid until","","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.certificate.period.end",0,1,"",""
"SVC-Core-Data-Set.certificate.version","","","",1,1,"","","","string {[]} {[]}
","Certificate schema version","","","","","","","","","","",,,,,"",,,,"SVC-Core-Data-Set.certificate.version",1,1,"",""
